count	dilution	strain	plate	strep	rep	well
46	1.00E-05	H1287	0_str	0	1	A12
56	1.00E-05	H1287	0_str	0	1	A11
54	1.00E-05	H1287	0_str	0	2	B12
56	1.00E-05	H1287	0_str	0	2	B11
43	1.00E-05	H1287	0_str	16	1	C12
49	1.00E-05	H1287	0_str	16	1	C11
50	1.00E-05	H1287	0_str	16	2	D12
49	1.00E-05	H1287	0_str	16	2	D11
48	1.00E-05	H1287	0_str	64	1	E12
53	1.00E-05	H1287	0_str	64	1	E11
44	1.00E-05	H1287	0_str	64	2	F12
55	1.00E-05	H1287	0_str	64	2	F11
49	1.00E-05	H1287	0_str	256	1	G12
52	1.00E-05	H1287	0_str	256	1	G11
37	1.00E-05	H1287	0_str	256	2	H12
55	1.00E-05	H1287	0_str	256	2	H11
56	1.00E-05	H1977	0_str	0	1	A12
69	1.00E-05	H1977	0_str	0	1	A11
68	1.00E-05	H1977	0_str	0	2	B12
69	1.00E-05	H1977	0_str	0	2	B11
57	1.00E-05	H1977	0_str	16	1	C12
52	1.00E-05	H1977	0_str	16	1	C11
57	1.00E-05	H1977	0_str	16	2	D12
59	1.00E-05	H1977	0_str	16	2	D11
58	1.00E-05	H1977	0_str	64	1	E12
66	1.00E-05	H1977	0_str	64	1	E11
60	1.00E-05	H1977	0_str	64	2	F12
59	1.00E-05	H1977	0_str	64	2	F11
60	1.00E-05	H1977	0_str	256	1	G12
62	1.00E-05	H1977	0_str	256	1	G11
60	1.00E-05	H1977	0_str	256	2	H12
58	1.00E-05	H1977	0_str	256	2	H11
9	1.00E+00	H1287	5000_str	0	1	A2
13	1.00E+00	H1287	5000_str	0	1	A1
9	1.00E+00	H1287	5000_str	0	2	B2
2	1.00E-01	H1287	5000_str	0	2	B4
7	1.00E+00	H1287	5000_str	0	2	B1
1	1.00E-01	H1287	5000_str	0	2	B3
5	1.00E+00	H1287	5000_str	16	1	C2
0	1.00E-01	H1287	5000_str	16	1	C4
4	1.00E+00	H1287	5000_str	16	1	C1
2	1.00E-01	H1287	5000_str	16	1	C3
11	1.00E+00	H1287	5000_str	16	2	D2
7	1.00E-01	H1287	5000_str	16	2	D1
0	1.00E+00	H1287	5000_str	64	1	E2
0	1.00E-01	H1287	5000_str	64	1	E4
7	1.00E+00	H1287	5000_str	64	1	E1
1	1.00E-01	H1287	5000_str	64	1	E3
16	1.00E+00	H1287	5000_str	64	2	F2
1	1.00E-01	H1287	5000_str	64	2	F4
8	1.00E+00	H1287	5000_str	64	2	F1
3	1.00E-01	H1287	5000_str	64	2	F3
20	1.00E-03	H1287	5000_str	256	1	G8
1	1.00E-04	H1287	5000_str	256	1	G10
19	1.00E-03	H1287	5000_str	256	1	G7
1	1.00E-04	H1287	5000_str	256	1	G9
19	1.00E-03	H1287	5000_str	256	2	H8
1	1.00E-04	H1287	5000_str	256	2	H10
15	1.00E-03	H1287	5000_str	256	2	H7
2	1.00E-04	H1287	5000_str	256	2	H9
13	1.00E-03	H1977	5000_str	0	1	A8
0	1.00E-04	H1977	5000_str	0	1	A10
17	1.00E-03	H1977	5000_str	0	1	A7
2	1.00E-04	H1977	5000_str	0	1	A9
39	1.00E-03	H1977	5000_str	0	2	B8
3	1.00E-04	H1977	5000_str	0	2	B10
0	1.00E-05	H1977	5000_str	0	2	B12
72	1.00E-03	H1977	5000_str	0	2	B7
9	1.00E-04	H1977	5000_str	0	2	B9
2	1.00E-05	H1977	5000_str	0	2	B11
42	1.00E-05	H1977	5000_str	16	1	C12
52	1.00E-05	H1977	5000_str	16	1	C11
40	1.00E-05	H1977	5000_str	16	2	D12
40	1.00E-05	H1977	5000_str	16	2	D11
34	1.00E-05	H1977	5000_str	64	1	E12
54	1.00E-05	H1977	5000_str	64	1	E11
33	1.00E-05	H1977	5000_str	64	2	F12
32	1.00E-05	H1977	5000_str	64	2	F11
39	1.00E-05	H1977	5000_str	256	1	G12
47	1.00E-05	H1977	5000_str	256	1	G11
41	1.00E-05	H1977	5000_str	256	2	H12
42	1.00E-05	H1977	5000_str	256	2	H11
