bioscreen_well	replicate	sp_hist	strep_conc	auc	max_od	min_od
6	1	ANC_1287	0	23.96478888888889	0.6468	0.08166666666666667
7	2	ANC_1287	0	23.876288888888887	0.6404	0.08166666666666667
8	3	ANC_1287	0	24.204283333333333	0.6536000000000001	0.08166666666666667
9	4	ANC_1287	0	23.82986111111111	0.6428	0.08266666666666667
10	5	ANC_1287	0	24.690538888888888	0.647	0.08266666666666667
16	1	ANC_1977	0	27.349094444444443	0.7946000000000001	0.08066666666666666
17	2	ANC_1977	0	27.299805555555555	0.7994	0.08133333333333334
18	3	ANC_1977	0	27.209455555555557	0.7978000000000001	0.08166666666666667
19	4	ANC_1977	0	27.13947222222222	0.7988000000000001	0.08266666666666667
20	5	ANC_1977	0	27.873033333333332	0.7866000000000001	0.08266666666666667
26	1	ANC_1287	4	22.84188888888889	0.615	0.08133333333333334
27	2	ANC_1287	4	23.036327777777775	0.6232	0.08133333333333334
28	3	ANC_1287	4	22.94488888888889	0.62	0.08233333333333334
29	4	ANC_1287	4	22.954955555555557	0.6268	0.08266666666666667
30	5	ANC_1287	4	23.26361111111111	0.6408	0.0858
36	1	ANC_1977	4	25.77406111111111	0.7528	0.081
37	2	ANC_1977	4	25.6854	0.7562	0.08166666666666667
38	3	ANC_1977	4	25.83821111111111	0.7556	0.082
39	4	ANC_1977	4	25.635083333333338	0.759	0.08266666666666667
40	5	ANC_1977	4	26.352888888888888	0.7542	0.08333333333333334
46	1	ANC_1287	8	21.636672222222224	0.5736	0.08133333333333334
47	2	ANC_1287	8	21.75683888888889	0.5806	0.08166666666666667
48	3	ANC_1287	8	21.91465	0.5858	0.08133333333333334
49	4	ANC_1287	8	22.854288888888888	0.6202	0.08233333333333334
50	5	ANC_1287	8	22.75561111111111	0.6158	0.08533333333333333
56	1	ANC_1977	8	24.563127777777776	0.7442	0.08466666666666667
57	2	ANC_1977	8	24.611811111111113	0.7396	0.08133333333333334
58	3	ANC_1977	8	24.32556111111111	0.7436	0.082
59	4	ANC_1977	8	24.770127777777777	0.7496	0.08366666666666667
60	5	ANC_1977	8	25.63607222222222	0.7508	0.08466666666666667
66	1	ANC_1287	16	22.388183333333338	0.6046	0.08266666666666667
67	2	ANC_1287	16	22.467022222222223	0.605	0.08266666666666667
68	3	ANC_1287	16	22.650244444444443	0.6112	0.08233333333333334
69	4	ANC_1287	16	22.949472222222223	0.6282	0.08266666666666667
70	5	ANC_1287	16	23.09638888888889	0.6288	0.08766666666666667
76	1	ANC_1977	16	4.251738888888888	0.10033333333333334	0.085
77	2	ANC_1977	16	15.172105555555556	0.694	0.084
78	3	ANC_1977	16	11.618194444444445	0.698	0.084
79	4	ANC_1977	16	9.691566666666668	0.687	0.084
80	5	ANC_1977	16	5.582455555555556	0.433	0.08533333333333333
86	1	ANC_1287	32	22.68278888888889	0.6252	0.08333333333333334
87	2	ANC_1287	32	22.56201111111111	0.6214	0.08333333333333334
88	3	ANC_1287	32	22.116283333333335	0.6092	0.08366666666666667
89	4	ANC_1287	32	22.406194444444445	0.618	0.08333333333333334
90	5	ANC_1287	32	22.52573333333333	0.617	0.08333333333333334
96	1	ANC_1977	32	4.177483333333333	0.088	0.08433333333333334
97	2	ANC_1977	32	4.160855555555555	0.08733333333333333	0.084
98	3	ANC_1977	32	4.143833333333333	0.087	0.084
99	4	ANC_1977	32	4.139688888888888	0.087	0.08333333333333334
100	5	ANC_1977	32	4.167855555555556	0.08779999999999999	0.084
106	1	ANC_1287	64	23.34939444444444	0.6292	0.082
107	2	ANC_1287	64	23.418872222222223	0.6324	0.08166666666666667
108	3	ANC_1287	64	23.496516666666665	0.6328	0.082
109	4	ANC_1287	64	23.24653888888889	0.624	0.08266666666666667
110	5	ANC_1287	64	23.98498888888889	0.6322	0.08333333333333334
116	1	ANC_1977	64	4.110772222222222	0.08679999999999999	0.08166666666666667
117	2	ANC_1977	64	4.107027777777778	0.08639999999999999	0.08233333333333334
118	3	ANC_1977	64	4.148355555555555	0.087	0.08333333333333334
119	4	ANC_1977	64	4.13615	0.087	0.08333333333333334
120	5	ANC_1977	64	4.161	0.088	0.084
126	1	ANC_1287	128	20.830383333333337	0.5676	0.08133333333333334
127	2	ANC_1287	128	21.223966666666666	0.5813999999999999	0.08166666666666667
128	3	ANC_1287	128	21.317466666666668	0.5853999999999999	0.08166666666666667
129	4	ANC_1287	128	21.367238888888888	0.593	0.08233333333333334
