bioscreen_well	replicate	sp_hist	strep_conc	y0	mumax	r2
10	5	ANC_1287	0	0.01114027911411022	0.39301567170416146	0.9996580967529508
100	5	ANC_1977	32	0.08370025267013448	0.0066648951645381	0.9879084960878792
106	1	ANC_1287	64	0.0127754962115325	0.3609930452019925	0.9997893542443632
107	2	ANC_1287	64	0.0127910264948906	0.3578775651611889	0.9998141170972782
108	3	ANC_1287	64	0.01237536268597813	0.3659321589009565	0.9997891132178124
109	4	ANC_1287	64	0.01160999964474871	0.3736526246166181	0.9997689779100216
110	5	ANC_1287	64	0.0109333464857684	0.3829403734948949	0.999738888870351
116	1	ANC_1977	64	0.08174435551967425	0.01254362197878842	0.9918010206290108
117	2	ANC_1977	64	0.08229227372970871	0.00912303206653264	0.9924209142150948
118	3	ANC_1977	64	0.08334401151413108	0.00866608289187859	0.99386557649589
119	4	ANC_1977	64	0.08331251262229893	0.00763949182812234	0.9812695261785171
120	5	ANC_1977	64	0.08395366727273251	0.00550613350586547	0.9907123142733008
126	1	ANC_1287	128	0.01821865936811843	0.2894567953039397	0.9998994175490424
127	2	ANC_1287	128	0.01429369596263244	0.32211483277944103	0.9998963329212606
128	3	ANC_1287	128	0.01364872216885312	0.3271852151143593	0.9998728649209632
129	4	ANC_1287	128	0.01619351819505773	0.2987752292529618	0.9999184060898216
130	5	ANC_1287	128	0.0159984545675277	0.30638674879566347	0.9999023254460842
136	1	ANC_1977	128	0.08227352734549832	0.00937122003616793	0.9932986173450824
137	2	ANC_1977	128	0.08231465736726032	0.0087425401269434	0.9915594140801358
138	3	ANC_1977	128	0.08333203786288866	0.00874317021244556	0.99128839989338
139	4	ANC_1977	128	0.08799961720213641	0.02318011062028002	0.999364969755284
140	5	ANC_1977	128	0.0845666246849992	0.00442641164928161	0.9889238252019902
146	1	ANC_1287	256	0.01146663586949326	0.2027449384905775	0.9999463205736216
147	2	ANC_1287	256	0.00874085894425089	0.2250111803399594	0.999857316554846
148	3	ANC_1287	256	0.01540201407971806	0.17307263398391112	0.999968924760795
149	4	ANC_1287	256	0.01090980495704684	0.18652502744878893	0.999973020896847
150	5	ANC_1287	256	0.01262589524550109	0.18400348211302756	0.9999709427930262
156	1	ANC_1977	256	0.0837569313285617	0.01037930225597402	0.99486302528878
157	2	ANC_1977	256	0.08201045258265122	0.00945246643593844	0.9938539865623356
158	3	ANC_1977	256	0.0828683403304974	0.00715782432374556	0.9858812395280858
159	4	ANC_1977	256	0.08333035984461719	0.00868293067942327	0.991674925673518
16	1	ANC_1977	0	0.00402977156087725	0.3818824595749423	0.9998827015096304
160	5	ANC_1977	256	0.08412691183682837	0.00553739008757189	0.9929062029019956
166	1	ANC_1287	512	0.00129379892171539	0.17205815359832788	0.999983141496594
167	2	ANC_1287	512	0.00280322668731575	0.17822538529060003	0.9999763143018232
168	3	ANC_1287	512	0.00527652376826542	0.13479493461838177	0.9999836471201008
169	4	ANC_1287	512	1.287509212451752e-4	0.2277930859695642	0.9999490333387644
17	2	ANC_1977	0	0.00401306193775751	0.3844490369215383	0.9998786699045532
170	5	ANC_1287	512	1.9358731656692128e-4	0.19919657360161905	0.9999630995587456
176	1	ANC_1977	512	0.08375993194333915	0.00598397186382009	0.9918963348282016
177	2	ANC_1977	512	0.08329443461437216	0.0076375038886344	0.9915819031940964
