seconds	hours	well	OD600	OD600_rollmean	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	plate_name	strep_conc
0	0	B01	0.137	0.1376666666666667	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
1200	0.3333333333333333	B01	0.138	0.13775	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
2400	0.6666666666666666	B01	0.138	0.1378	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
3600	1	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
4800	1.3333333333333333	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
6000	1.6666666666666667	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
7200	2	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
8400	2.3333333333333335	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
9600	2.6666666666666665	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
10800	3	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
12000	3.3333333333333335	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
13200	3.6666666666666665	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
14400	4	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
15600	4.333333333333333	B01	0.138	0.138	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
16800	4.666666666666667	B01	0.138	0.13820000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
18000	5	B01	0.138	0.13840000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
19200	5.333333333333333	B01	0.139	0.1388	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
20401	5.666944444444445	B01	0.139	0.13920000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
21601	6.000277777777778	B01	0.14	0.1398	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
22801	6.333611111111111	B01	0.14	0.1402	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
24001	6.666944444444445	B01	0.141	0.1408	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
25201	7.000277777777778	B01	0.141	0.1412	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
26401	7.333611111111111	B01	0.142	0.14179999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
27601	7.666944444444445	B01	0.142	0.1422	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
28801	8.000277777777777	B01	0.143	0.14279999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
30001	8.33361111111111	B01	0.143	0.1434	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
31201	8.666944444444445	B01	0.144	0.144	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
32401	9.000277777777777	B01	0.145	0.14459999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
33601	9.33361111111111	B01	0.145	0.1452	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
34801	9.666944444444445	B01	0.146	0.14559999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
36001	10.000277777777777	B01	0.146	0.14579999999999999	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
37201	10.33361111111111	B01	0.146	0.146	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
38401	10.666944444444445	B01	0.146	0.146	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
39601	11.000277777777777	B01	0.146	0.146	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
40801	11.33361111111111	B01	0.146	0.146	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
42001	11.666944444444445	B01	0.146	0.1462	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
43201	12.000277777777777	B01	0.146	0.1464	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
44401	12.33361111111111	B01	0.147	0.14659999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
45601	12.666944444444445	B01	0.147	0.14679999999999999	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
46801	13.000277777777777	B01	0.147	0.147	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
48001	13.33361111111111	B01	0.147	0.147	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
49201	13.666944444444445	B01	0.147	0.1472	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
50401	14.000277777777777	B01	0.147	0.1474	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
51601	14.33361111111111	B01	0.148	0.1474	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
52801	14.666944444444445	B01	0.148	0.14759999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
54001	15.000277777777777	B01	0.147	0.14759999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
55201	15.33361111111111	B01	0.148	0.14759999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
56401	15.666944444444445	B01	0.147	0.14759999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
57601	16.00027777777778	B01	0.148	0.1478	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
58801	16.33361111111111	B01	0.148	0.1478	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
60001	16.666944444444443	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
61201	17.00027777777778	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
62401	17.33361111111111	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
63601	17.666944444444443	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
64801	18.00027777777778	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
66001	18.33361111111111	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
67201	18.666944444444443	B01	0.148	0.148	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
68401	19.00027777777778	B01	0.148	0.1482	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
69601	19.33361111111111	B01	0.148	0.1482	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
70801	19.666944444444443	B01	0.149	0.1484	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
72001	20.00027777777778	B01	0.148	0.14859999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
73201	20.33361111111111	B01	0.149	0.1488	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
74401	20.666944444444443	B01	0.149	0.14859999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
75601	21.00027777777778	B01	0.149	0.1488	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
76801	21.33361111111111	B01	0.148	0.1488	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
78001	21.666944444444443	B01	0.149	0.1488	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
79201	22.00027777777778	B01	0.149	0.1488	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
80401	22.33361111111111	B01	0.149	0.149	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
81601	22.666944444444443	B01	0.149	0.1492	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
82801	23.00027777777778	B01	0.149	0.1492	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
84001	23.33361111111111	B01	0.15	0.1494	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
85201	23.666944444444443	B01	0.149	0.14959999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
86401	24.00027777777778	B01	0.15	0.1498	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
87601	24.33361111111111	B01	0.15	0.1498	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
88801	24.666944444444443	B01	0.15	0.1502	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
90002	25.000555555555554	B01	0.15	0.1504	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
91202	25.33388888888889	B01	0.151	0.1504	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
92402	25.66722222222222	B01	0.151	0.1508	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
93602	26.000555555555554	B01	0.15	0.1512	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
94802	26.33388888888889	B01	0.152	0.1514	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
96002	26.66722222222222	B01	0.152	0.15159999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
97202	27.000555555555554	B01	0.152	0.1522	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
98402	27.33388888888889	B01	0.152	0.15259999999999999	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
99602	27.66722222222222	B01	0.153	0.153	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
100802	28.000555555555554	B01	0.154	0.1534	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
102002	28.33388888888889	B01	0.154	0.154	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
103202	28.66722222222222	B01	0.154	0.1544	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
104402	29.000555555555554	B01	0.155	0.1548	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
105602	29.33388888888889	B01	0.155	0.1552	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
106802	29.66722222222222	B01	0.156	0.1558	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
108002	30.000555555555554	B01	0.156	0.1562	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
109202	30.33388888888889	B01	0.157	0.1568	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
110402	30.66722222222222	B01	0.157	0.1574	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
111602	31.000555555555554	B01	0.158	0.158	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
112802	31.33388888888889	B01	0.159	0.1586	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
114002	31.66722222222222	B01	0.159	0.1592	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
115202	32.00055555555556	B01	0.16	0.15940000000000001	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
116402	32.333888888888886	B01	0.16	0.1598	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
117602	32.66722222222222	B01	0.159	0.1602	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
118802	33.00055555555556	B01	0.161	0.16040000000000001	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
120002	33.333888888888886	B01	0.161	0.1606	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
121202	33.66722222222222	B01	0.161	0.1612	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
122402	34.00055555555556	B01	0.161	0.1616	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
123602	34.333888888888886	B01	0.162	0.1622	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
124802	34.66722222222222	B01	0.163	0.1628	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
126002	35.00055555555556	B01	0.164	0.1636	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
127202	35.333888888888886	B01	0.164	0.1642	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
128402	35.66722222222222	B01	0.165	0.1646	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
129602	36.00055555555556	B01	0.165	0.16540000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
130802	36.333888888888886	B01	0.165	0.166	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
132002	36.66722222222222	B01	0.168	0.16640000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
133202	37.00055555555556	B01	0.167	0.1668	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
134402	37.333888888888886	B01	0.167	0.1678	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
135602	37.66722222222222	B01	0.167	0.16820000000000002	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
136802	38.00055555555556	B01	0.17	0.169	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
138002	38.333888888888886	B01	0.17	0.17	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
139202	38.66722222222222	B01	0.171	0.1708	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
140402	39.00055555555556	B01	0.172	0.1712	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
141602	39.333888888888886	B01	0.171	0.1716	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
142802	39.66722222222222	B01	0.172	0.1722	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
144002	40.00055555555556	B01	0.172	0.17279999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
145202	40.333888888888886	B01	0.174	0.17379999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
146402	40.66722222222222	B01	0.175	0.17479999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
147602	41.00055555555556	B01	0.176	0.17579999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
148802	41.333888888888886	B01	0.177	0.17679999999999998	H1287	anc	NA	a	diffusion_test_media_start	B01B02	M9	diffusion_test	NA
