seconds	hours	well	OD600	OD600_rollmean	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	streptomycin	plate_name	strainID
0	0	E10	0.147	0.14766666666666667	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
1200	0.3333333333333333	E10	0.148	0.14775	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
2400	0.6666666666666666	E10	0.148	0.1478	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
3600	1	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
4800	1.3333333333333333	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
6000	1.6666666666666667	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
7200	2	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
8400	2.3333333333333335	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
9600	2.6666666666666665	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
10800	3	E10	0.148	0.148	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
12000	3.3333333333333335	E10	0.148	0.1482	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
13200	3.6666666666666665	E10	0.148	0.1484	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
14400	4	E10	0.149	0.14859999999999998	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
15600	4.333333333333333	E10	0.149	0.149	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
16800	4.666666666666667	E10	0.149	0.14959999999999998	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
18000	5	E10	0.15	0.1502	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
19200	5.333333333333333	E10	0.151	0.1512	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
20401	5.666944444444445	E10	0.152	0.1526	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
21601	6.000277777777778	E10	0.154	0.1544	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
22801	6.333611111111111	E10	0.156	0.1568	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
24001	6.666944444444445	E10	0.159	0.16	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
25201	7.000277777777778	E10	0.163	0.1644	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
26401	7.333611111111111	E10	0.168	0.17	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
27601	7.666944444444445	E10	0.176	0.1776	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
28801	8.000277777777777	E10	0.184	0.188	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
30001	8.33361111111111	E10	0.197	0.2012	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
31201	8.666944444444445	E10	0.215	0.2184	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
32401	9.000277777777777	E10	0.234	0.2392	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
33601	9.33361111111111	E10	0.262	0.2634	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
34801	9.666944444444445	E10	0.288	0.29159999999999997	H1287	evo	NA	a	monoculture	E09E10	R2A	0	plate01	E1287
