seconds	hours	well	OD600	OD600_rollmean	plate	strain	evolution	competition_pair	replicate	culture_type	joined_well_pair	media	strep_conc_ugml	dilution	plate_name	start_hrs_from_0
0	0	B01	0.126	0.12833333333333333	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
1200	0.3333333333333333	B01	0.129	0.12975	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
2400	0.6666666666666666	B01	0.13	0.1312	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
3600	1	B01	0.134	0.1336	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
4800	1.3333333333333333	B01	0.137	0.136	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
6000	1.6666666666666667	B01	0.138	0.1388	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
7200	2	B01	0.141	0.141	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
8400	2.3333333333333335	B01	0.144	0.1426	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
9600	2.6666666666666665	B01	0.145	0.1444	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
10800	3	B01	0.145	0.14559999999999998	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
12000	3.3333333333333335	B01	0.147	0.146	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
13200	3.6666666666666665	B01	0.147	0.146	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
14400	4	B01	0.146	0.14559999999999998	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
15600	4.333333333333333	B01	0.145	0.14479999999999998	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
16800	4.666666666666667	B01	0.143	0.14459999999999998	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
18000	5	B01	0.143	0.15039999999999998	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
19200	5.333333333333333	B01	0.146	0.156	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
20400	5.666666666666667	B01	0.175	0.1658	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
21600	6	B01	0.173	0.1774	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
22800	6.333333333333333	B01	0.192	0.1916	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
24000	6.666666666666667	B01	0.201	0.203	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
25200	7	B01	0.217	0.2196	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
26400	7.333333333333333	B01	0.232	0.2364	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
27600	7.666666666666667	B01	0.256	0.2558	1	H1977	anc	NA	a	monoculture	B01B02	M9MM	0	10000	c1	0
