Field Group

Plate Comment:	
Procedure Summary
  Plate Type:              Corning 96 well for LogPhase600
  Plate Number:            2
  Discontinuous Kinetics:  Runtime 02:00:00 (D:HH:MM), Interval 00:20:00 (HH:MM:SS), 145 Reads (max)
  Read:                    600 nm
  Incubator:               On
    Temperature setpoint:  30 °C
    Temperature gradient:  Off
  Shaking:                 On
     Shaking frequency:    600 RPMs		
			
			

600

Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	1.378	1.367	1.090	1.306	1.217	1.324	1.115	1.078	0.899	0.933	0.977	1.372	0.123	0.121	0.121	0.121	0.136	0.133	0.134	0.133	0.134	0.132	0.135	0.135	0.125	0.121	0.124	0.121	0.134	0.132	0.136	0.132	0.134	0.131	0.133	0.133	0.123	0.122	0.122	0.120	0.133	0.132	0.134	0.132	0.134	0.132	0.133	0.133	0.126	0.123	0.123	0.122	0.133	0.135	0.134	0.134	0.138	0.133	0.133	0.134	0.123	0.122	0.121	0.120	0.132	0.132	0.134	0.147	0.131	0.132	0.132	0.132	0.122	0.126	0.122	0.120	0.134	0.134	0.133	0.132	0.133	0.131	0.133	0.133	1.423	1.245	1.104	1.047	1.049	1.071	1.085	1.238	1.156	1.194	1.134	1.277
0:20:00	1.370	1.365	1.088	1.302	1.230	1.301	1.108	1.058	0.921	0.931	0.985	1.363	0.123	0.121	0.121	0.121	0.136	0.133	0.134	0.133	0.134	0.132	0.134	0.135	0.125	0.121	0.124	0.121	0.134	0.132	0.136	0.132	0.134	0.131	0.133	0.133	0.123	0.121	0.122	0.120	0.133	0.131	0.134	0.132	0.134	0.132	0.133	0.132	0.126	0.122	0.123	0.122	0.132	0.134	0.133	0.134	0.138	0.133	0.133	0.134	0.122	0.122	0.121	0.120	0.131	0.132	0.134	0.147	0.131	0.132	0.132	0.132	0.122	0.125	0.121	0.120	0.134	0.134	0.133	0.131	0.133	0.131	0.133	0.133	1.415	1.237	1.109	1.050	1.065	1.080	1.087	1.237	1.156	1.188	1.139	1.276
0:40:00	1.372	1.367	1.083	1.302	1.233	1.292	1.106	1.045	0.927	0.929	0.991	1.363	0.123	0.120	0.121	0.121	0.136	0.133	0.134	0.133	0.134	0.132	0.135	0.135	0.125	0.120	0.124	0.121	0.134	0.132	0.136	0.132	0.134	0.131	0.133	0.133	0.123	0.121	0.122	0.120	0.133	0.131	0.134	0.131	0.134	0.132	0.133	0.132	0.125	0.122	0.123	0.122	0.132	0.134	0.133	0.134	0.138	0.133	0.133	0.134	0.122	0.122	0.121	0.120	0.131	0.132	0.134	0.147	0.131	0.132	0.132	0.132	0.122	0.125	0.121	0.119	0.134	0.134	0.133	0.131	0.133	0.131	0.133	0.133	1.415	1.234	1.111	1.052	1.052	1.076	1.088	1.235	1.156	1.186	1.139	1.276
1:00:00	1.372	1.364	1.086	1.303	1.237	1.282	1.103	1.043	0.930	0.928	0.996	1.365	0.124	0.121	0.122	0.121	0.136	0.133	0.135	0.133	0.135	0.132	0.135	0.134	0.126	0.120	0.125	0.121	0.134	0.132	0.136	0.132	0.134	0.131	0.133	0.134	0.124	0.121	0.122	0.121	0.134	0.132	0.134	0.132	0.134	0.132	0.133	0.133	0.126	0.123	0.123	0.122	0.132	0.135	0.134	0.134	0.138	0.133	0.133	0.134	0.122	0.122	0.121	0.120	0.132	0.132	0.135	0.147	0.131	0.132	0.132	0.132	0.122	0.126	0.122	0.120	0.134	0.135	0.133	0.132	0.133	0.131	0.134	0.133	1.414	1.234	1.112	1.052	1.052	1.077	1.087	1.232	1.157	1.187	1.139	1.276
1:20:00	1.376	1.364	1.081	1.301	1.234	1.283	1.106	1.041	0.927	0.930	0.998	1.361	0.124	0.121	0.122	0.121	0.136	0.133	0.135	0.133	0.134	0.133	0.135	0.134	0.126	0.120	0.125	0.122	0.134	0.132	0.136	0.132	0.134	0.131	0.133	0.134	0.124	0.121	0.122	0.120	0.134	0.131	0.134	0.132	0.134	0.132	0.133	0.133	0.125	0.123	0.123	0.122	0.132	0.134	0.134	0.134	0.138	0.133	0.134	0.134	0.122	0.122	0.121	0.120	0.131	0.132	0.135	0.147	0.131	0.132	0.132	0.132	0.122	0.126	0.122	0.120	0.134	0.135	0.133	0.132	0.133	0.132	0.134	0.133	1.414	1.233	1.114	1.056	1.056	1.080	1.091	1.233	1.156	1.188	1.139	1.276
1:40:00	1.375	1.363	1.086	1.306	1.239	1.278	1.105	1.027	0.921	0.927	1.001	1.360	0.125	0.121	0.122	0.121	0.137	0.133	0.136	0.133	0.135	0.133	0.135	0.134	0.127	0.120	0.125	0.122	0.134	0.132	0.137	0.132	0.134	0.131	0.134	0.134	0.124	0.121	0.122	0.121	0.134	0.131	0.134	0.131	0.134	0.132	0.133	0.133	0.125	0.123	0.123	0.122	0.132	0.135	0.134	0.134	0.138	0.133	0.134	0.134	0.122	0.122	0.122	0.120	0.131	0.132	0.135	0.147	0.131	0.132	0.133	0.132	0.122	0.126	0.122	0.120	0.134	0.135	0.133	0.131	0.133	0.132	0.135	0.133	1.410	1.233	1.112	1.053	1.050	1.078	1.086	1.229	1.157	1.180	1.139	1.275
2:00:00	1.375	1.362	1.086	1.304	1.240	1.276	1.104	1.028	0.926	0.926	1.005	1.359	0.127	0.121	0.123	0.121	0.138	0.133	0.136	0.133	0.135	0.132	0.135	0.134	0.128	0.120	0.126	0.122	0.134	0.133	0.137	0.132	0.135	0.131	0.134	0.134	0.124	0.121	0.122	0.120	0.134	0.131	0.134	0.131	0.134	0.132	0.133	0.133	0.125	0.124	0.123	0.122	0.132	0.135	0.134	0.134	0.139	0.133	0.134	0.134	0.122	0.122	0.122	0.120	0.131	0.132	0.136	0.147	0.131	0.132	0.133	0.132	0.122	0.127	0.123	0.120	0.134	0.135	0.134	0.132	0.133	0.132	0.136	0.132	1.411	1.232	1.112	1.053	1.050	1.079	1.086	1.231	1.156	1.182	1.139	1.276
2:20:00	1.373	1.362	1.092	1.303	1.244	1.292	1.107	1.016	0.925	0.921	1.016	1.358	0.129	0.120	0.125	0.121	0.139	0.133	0.137	0.133	0.136	0.132	0.136	0.134	0.130	0.120	0.127	0.122	0.135	0.133	0.138	0.132	0.135	0.131	0.135	0.134	0.125	0.121	0.122	0.120	0.135	0.131	0.135	0.131	0.134	0.132	0.133	0.132	0.125	0.124	0.124	0.122	0.132	0.135	0.134	0.135	0.139	0.133	0.134	0.134	0.122	0.123	0.123	0.120	0.131	0.132	0.137	0.147	0.131	0.132	0.134	0.132	0.122	0.127	0.124	0.120	0.134	0.134	0.134	0.132	0.133	0.132	0.138	0.132	1.413	1.230	1.115	1.053	1.051	1.079	1.085	1.229	1.156	1.177	1.139	1.276
2:40:00	1.372	1.363	1.090	1.306	1.241	1.292	1.110	1.046	0.923	0.932	1.010	1.357	0.132	0.120	0.126	0.121	0.141	0.133	0.138	0.133	0.136	0.132	0.136	0.134	0.133	0.120	0.128	0.122	0.136	0.134	0.140	0.132	0.136	0.131	0.136	0.134	0.126	0.121	0.123	0.120	0.136	0.131	0.135	0.131	0.135	0.132	0.134	0.132	0.125	0.125	0.125	0.122	0.132	0.134	0.135	0.135	0.139	0.133	0.134	0.134	0.122	0.123	0.125	0.120	0.131	0.132	0.139	0.147	0.131	0.133	0.136	0.132	0.122	0.128	0.125	0.120	0.134	0.135	0.135	0.132	0.133	0.132	0.138	0.132	1.413	1.231	1.114	1.052	1.051	1.079	1.085	1.232	1.155	1.179	1.138	1.276
3:00:00	1.376	1.365	1.085	1.306	1.243	1.286	1.108	1.047	0.931	0.928	1.017	1.357	0.137	0.120	0.129	0.122	0.143	0.133	0.140	0.133	0.137	0.132	0.137	0.134	0.136	0.120	0.129	0.122	0.138	0.135	0.142	0.132	0.138	0.131	0.138	0.134	0.127	0.120	0.123	0.120	0.138	0.131	0.136	0.131	0.135	0.132	0.134	0.132	0.125	0.125	0.126	0.122	0.132	0.135	0.137	0.135	0.140	0.133	0.135	0.134	0.122	0.123	0.127	0.120	0.131	0.132	0.142	0.147	0.131	0.133	0.139	0.132	0.122	0.128	0.127	0.120	0.134	0.135	0.136	0.132	0.133	0.133	0.141	0.132	1.413	1.231	1.113	1.053	1.049	1.079	1.084	1.234	1.154	1.182	1.136	1.277
